0,0.450906
10,0.338844
20,0.335433
30,0.334631
40,0.334272
50,0.334068
60,0.333937
70,0.333845
80,0.333778
90,0.333726
100,0.333685
110,0.333652
120,0.333624
130,0.333601
140,0.333582
150,0.333564
160,0.333550
170,0.333537
180,0.333525
190,0.333515
200,0.333505
210,0.333497
220,0.333489
230,0.333482
240,0.333476
250,0.333470
260,0.333465
270,0.333460
280,0.333455
290,0.333451
300,0.333447
310,0.333443
320,0.333440
330,0.333437
340,0.333434
350,0.333431
360,0.333428
370,0.333425
380,0.333423
390,0.333421
400,0.333418
410,0.333416
420,0.333414
430,0.333412
440,0.333411
450,0.333409
460,0.333407
470,0.333406
480,0.333404
490,0.333403
500,0.333401
510,0.333400
520,0.333399
530,0.333397
540,0.333396
550,0.333395
560,0.333394
570,0.333393
580,0.333392
590,0.333391
600,0.333390
610,0.333389
620,0.333388
630,0.333387
640,0.333386
650,0.333385
660,0.333385
670,0.333384
680,0.333383
690,0.333382
700,0.333382
710,0.333381
720,0.333380
730,0.333380
740,0.333379
750,0.333378
760,0.333378
770,0.333377
780,0.333377
790,0.333376
800,0.333376
810,0.333375
820,0.333375
830,0.333374
840,0.333374
850,0.333373
860,0.333373
870,0.333372
880,0.333372
890,0.333371
900,0.333371
910,0.333370
920,0.333370
930,0.333370
940,0.333369
950,0.333369
960,0.333368
970,0.333368
980,0.333368
990,0.333367
